iter	Passed	Remaining
927	10694	12353
928	10700	12336
929	10709	12321
930	10716	12305
931	10723	12288
932	10731	12272
933	10738	12255
934	10747	12241
935	10754	12224
936	10762	12210
937	10770	12193
938	10778	12178
939	10787	12164
940	10797	12151
941	10804	12135
942	10812	12119
943	10822	12107
944	10829	12089
945	10836	12074
946	10846	12060
947	10896	12092
948	10918	12092
949	10955	12108
950	10971	12102
951	10985	12093
952	11004	12089
953	11016	12079
954	11026	12065
955	11038	12054
956	11046	12039
957	11059	12029
958	11073	12020
959	11085	12009
960	11101	12002
961	11118	11997
962	11131	11987
963	11146	11978
964	11159	11969
965	11179	11966
966	11198	11962
967	11213	11954
968	11225	11943
969	11236	11931
970	11254	11927
971	11270	11920
972	11285	11911
973	11297	11900
974	11305	11885
975	11313	11869
976	11323	11856
977	11331	11841
978	11341	11828
979	11354	11817
980	11364	11805
981	11373	11790
982	11385	11779
983	11393	11764
984	11402	11749
985	11411	11735
986	11419	11720
987	11428	11705
988	11436	11690
989	11444	11676
990	11452	11660
991	11460	11645
992	11469	11631
993	11479	11617
994	11487	11603
995	11497	11589
996	11505	11574
997	11514	11560
998	11523	11546
999	11531	11531
1000	11541	11518
1001	11550	11504
1002	11559	11490
1003	11569	11476
1004	11577	11462
1005	11587	11449
1006	11598	11437
1007	11610	11425
1008	11627	11420
1009	11651	11420
1010	11666	11413
1011	11683	11406
1012	11695	11395
1013	11712	11389
1014	11726	11379
1015	11741	11372
1016	11758	11365
1017	11770	11353
1018	11785	11346
1019	11798	11335
1020	11811	11325
1021	11823	11314
1022	11837	11305
1023	11851	11296
1024	11864	11285
1025	11877	11275
1026	11892	11266
1027	11906	11258
1028	11921	11249
1029	11939	11244
1030	11954	11235
1031	11969	11226
1032	11986	11220
1033	12004	11214
1034	12016	11204
1035	12033	11197
1036	12060	11200
1037	12085	11200
1038	12099	11191
1039	12116	11184
1040	12129	11173
1041	12143	11164
1042	12157	11154
1043	12171	11145
1044	12185	11135
1045	12195	11122
1046	12207	11111
1047	12217	11098
1048	12226	11084
1049	12235	11070
1050	12246	11058
1051	12255	11043
1052	12265	11030
1053	12274	11016
1054	12283	11002
1055	12292	10988
1056	12301	10975
1057	12310	10960
1058	12319	10947
1059	12329	10933
1060	12338	10919
1061	12348	10906
1062	12357	10892
1063	12368	10880
1064	12378	10867
1065	12389	10855
1066	12398	10841
1067	12410	10830
1068	12421	10818
1069	12430	10804
1070	12440	10791
1071	12450	10777
1072	12458	10763
1073	12472	10754
1074	12485	10743
1075	12495	10730
1076	12506	10718
1077	12516	10705
1078	12525	10691
1079	12532	10675
1080	12541	10662
1081	12550	10648
1082	12558	10633
1083	12567	10620
1084	12577	10606
1085	12599	10604
1086	12608	10590
1087	12617	10576
1088	12628	10564
1089	12637	10550
1090	12648	10538
1091	12659	10526
1092	12669	10513
1093	12679	10500
1094	12688	10487
1095	12698	10473
1096	12709	10462
1097	12718	10448
1098	12730	10437
1099	12739	10423
1100	12749	10409
1101	12758	10397
1102	12770	10385
1103	12784	10375
1104	12794	10362
1105	12805	10350
1106	12817	10339
1107	12827	10326
1108	12838	10315
1109	12850	10303
1110	12859	10289
1111	12872	10279
1112	12881	10266
1113	12893	10254
1114	12904	10242
1115	12917	10232
1116	12928	10219
1117	12937	10206
1118	12946	10192
1119	12956	10180
1120	12969	10169
1121	12979	10157
1122	12990	10144
1123	13000	10132
1124	13010	10119
